Source, Target, #envelope points, slope, r2+
L4,L30,9,-0.0843462753617,81.0784826524
L4,L13,11,-0.0389075757193,96.8853764136
L4,L152,5,-0.0453179297479,83.9759536656
L4,L118,5,-0.05314973745,86.1633648484
L4,L122,8,-0.0275767495261,96.2274581959
L4,L131,11,-0.165573837594,94.885541051
L4,L93,7,-0.0342431307468,90.7182783664
L4,L91,7,-0.090872459099,88.8267764965
L4,L77,5,-0.0783524727313,84.3395785325
L4,L72,6,-0.0797834922679,82.0169495013
L4,L33,7,-0.158048278605,90.1339602307
L4,L31,10,-0.100866023515,92.2684427113
L4,L21,14,-0.0823673622773,95.7536551378
L4,L15,11,-0.0492478424576,89.1777694608
L4,L6,16,-0.0846795757078,81.0439402425
L4,L3,7,-0.0481150462162,89.1975328349
L4,L5,14,-0.056345789682,92.5187345186
L4,L119,16,-0.0704751294612,88.8327782247
L4,L121,17,-0.123293784141,92.1337778254
L4,L126,13,-0.0705764542342,92.5055555843
L34,L42,6,-0.0406348397469,85.6556396085
L34,L58,5,-0.24279018177,93.1542398694
L34,L180,7,-0.0414351877994,86.0041069883
L34,L61,6,-0.103361906965,91.0710261828
L34,L64,5,-0.302030187692,94.8850369883
L34,L161,12,-0.1201185312,81.7086188807
L34,L30,11,-0.103466110541,92.1480214397
L34,L14,11,-0.0774282011003,87.574325071
L34,L32,7,-0.115959460726,83.9440941854
L34,L33,6,-0.0962122461089,88.770194193
L34,L35,8,-0.160562044966,93.946497445
L34,L162,8,-0.115816971027,95.0327943693
L79,L56,12,-0.101782847841,98.7060086547
L79,L96,7,-0.149275502738,91.2993299592
L79,L70,6,-0.111940911783,91.498492595
L79,L44,5,-0.153559413545,89.1731746188
L79,L26,6,-0.166523239068,96.3354673359
L79,L137,10,-0.169318068356,85.1324001988
L79,L133,7,-0.171853979647,97.2461891658
L79,L135,6,-0.237884414797,98.7303427129
L79,L73,9,-0.0288165776427,95.07476467
L79,L74,8,-0.0661053549976,90.9156972458
L79,L80,10,-0.0669002651712,82.7034243114
L79,L81,7,-0.105318551881,92.1230907986
L123,L76,5,-0.0684553519197,81.2177671016
L123,L103,10,-0.201864704073,95.487839522
L123,L24,6,-0.192892347819,85.3167932128
L123,L175,7,-0.103690328335,89.1719787968
L123,L77,9,-0.0249409548492,92.6127615061
L123,L91,5,-0.0233957146533,86.1193268456
L123,L148,5,-0.0536779426655,88.5483999391
L123,L159,7,-0.0530316183179,89.2496211263
L123,L21,7,-0.0367036513584,93.7929581326
L123,L20,6,-0.0203421285983,88.5992558819
L123,L138,5,-0.056236796519,87.4898744948
L123,L152,6,-0.0623355408678,96.0913021629
L123,L69,6,-0.0536188276436,97.1400832538
L123,L1,8,-0.0630848303814,87.7436229538
L123,L13,6,-0.0628203866328,97.3071789169
L123,L4,8,-0.0494055025197,93.6520777462
L123,L3,8,-0.0598576845954,92.8954220493
L123,L132,9,-0.0613402215399,83.5862257853
L123,L173,10,-0.188959826826,96.1714230882
L123,L107,11,-0.0753458978204,96.7379170352
L123,L128,7,-0.0596856569209,88.9977556883
L123,L131,11,-0.0641146240331,96.1490446416
L123,L178,15,-0.0969398657195,96.0573338126
